Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19293813519,"Jul 13, 2026, 9:28:25 AM",Poranna jazda,E-Bike Ride,,8941,23.19,,,false,,Żółciak,activities/20412185329.fit.gz,,24.0,8941.0,5292.0,23190.0,9.8,4.382,74.0,87.0,30.2,58.4,49.1,0.0,,,97.0,49.0,,,,59.0,282.0,,,,,,,,,,,,72.0,7540.0,,,0.0,,1.0,,,,,,,,,,,,,,,,15369628.0,,,,,,,,,,,,2.594,2125.4,,,,,0.0,,371.0,133.0,,,,,,,,,,,,,""
19270580757,"Jul 11, 2026, 3:09:54 PM",Afternoon Run,Run,"",86,0.14,86.0,0,false,,,activities/20388518999.fit.gz,,,86.0,56.0,147.4,4.6,2.632,2.0,2.0,33.0,35.0,25.0,0.0,,,123.0,106.0,86.0,81.0,,183.0,5.0,,,0.0,,,,,,,,,126.0,87.0,,,0.0,,1.0,151.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.714,0.0,,,,172.0,0.0,,13.0,233.0,2.705,,,,,,,,,,,,""
19268651897,"Jul 11, 2026, 11:34:13 AM",Afternoon Walk,Walk,"‍
👏 1.86 new kilometers

-- From Wandrer",3935,4.88,117.0,8,false,,,activities/20386557854.fit.gz,,,3935.0,3669.0,4882.6,2.311,1.331,27.0,31.0,30.0,40.0,31.6,-0.1,,,78.0,56.0,117.0,86.0,,,253.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241,3533.5,,,,6768.0,0.0,,,,,,,,,,,,,,,,""
19245024420,"Jul 9, 2026, 2:50:17 PM",Popo?udniowa jazda,E-Bike Ride,,6178,16.18,,,false,,Żółciak,activities/20362535159.fit.gz,,24.0,6178.0,3349.0,16184.0,9.0,4.832,60.0,58.0,42.2,72.0,49.4,0.0,,,100.0,56.0,,,,80.0,246.0,,,,,,,,,,,,94.0,4989.0,,,0.0,,1.0,,,,,,,,,,,,,,,,15369628.0,,,,,,,,,,,,2.62,635.2,,,,,0.0,,48.0,59.0,,,,,,,,,,,,,""
19200916175,"Jul 6, 2026, 8:47:26 AM",Morning Ride,Ride,"168 Obciążenie treningowe
-- from COROS‍
💪 37.44 new kilometers

-- From Wandrer",16155,47.20,169.0,82,false,,Żółciak,activities/20317761896.fit.gz,,24.0,16155.0,11067.0,47200.5,11.0,4.265,580.0,712.0,45.0,252.0,26.7,-0.3,,,,,169.0,112.0,,84.0,1465.0,,,82.0,0.0,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,15369628.0,,,,,,,,,,,,2.922,17944.0,,,,,0.0,,,,,,,,,,,,,,,,""
19194686058,"Jul 5, 2026, 9:15:43 PM",Night Swim,Swim,"",824,0,109.0,2,false,,,activities/20311428965.fit.gz,,,824.0,818.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,109.0,70.0,,,,,30.0,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,15.0,,,,,,,,,,,,,,,""
19194300460,"Jul 5, 2026, 8:13:58 PM",Night Ride,Ride,"2 Obciążenie treningowe
-- from COROS",786,0.45,109.0,1,false,,Żółciak,activities/20311035411.fit.gz,,24.0,786.0,604.0,456.3,4.594,0.755,8.0,7.0,164.2,169.4,40.0,0.3,,,,,109.0,80.0,,47.0,50.0,,,1.0,0.0,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,15369628.0,,,,,,,,,,,,0.581,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19193477270,"Jul 5, 2026, 6:43:33 PM",Evening Swim,Swim,"",582,0,80.0,1,false,,,activities/20310197052.fit.gz,,,582.0,575.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,80.0,68.0,,,,,33.0,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,15.0,,,,,,,,,,,,,,,""
19193477307,"Jul 5, 2026, 3:43:30 PM",Afternoon Swim,Swim,"",2905,15,96.0,8,false,,,activities/20310197066.fit.gz,,,2905.0,1473.0,15.0,0.02,0.01,0.0,0.0,,,0.0,0.0,,,23.0,23.0,96.0,77.0,,,2.0,,34.0,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.0,,,,,0.0,15.0,,,,,,,,,,,,,,,""
19188687482,"Jul 5, 2026, 11:49:03 AM",Afternoon Swim,Swim,"",2677,15,108.0,6,false,,,activities/20305309448.fit.gz,,,2677.0,1850.0,15.0,0.033,0.008,0.0,0.0,,,0.0,0.0,,,23.0,23.0,108.0,64.0,,,2.0,,29.0,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.0,,,,,0.0,15.0,,,,,,,,,,,,,,,""
